source_item,file_path,category,extracted_topic,classification,why_it_matters_for_figma,proposed_target_skill,notes
"bmad-agent-ux-designer","bmad-agent-ux-designer/SKILL.md","purpose","Carga contexto antes de iniciar trabajo UX","[PORTAR]","Una skill Figma gana calidad si lee reglas del proyecto antes de editar o componer pantallas","figma-bmad-design-system-rules","Portar sin la persona ni el routing"
"bmad-agent-ux-designer","bmad-agent-ux-designer/SKILL.md","rule","No inventar capacidades y usar skill exacta","[RESUMIR]","Se puede traducir a no inventar cambios fuera del alcance de la tarea Figma","figma-bmad-compose-screen","Convertir en regla de scope, no de menu"
"bmad-agent-ux-designer","bmad-agent-ux-designer/bmad-skill-manifest.yaml","artifact","Persona y framing del rol UX","[OMITIR]","No mejora una tarea operativa en Figma","N/A","Solo branding de agente"
"bmad-create-ux-design","bmad-create-ux-design/workflow.md","purpose","Workflow UX integral secuencial","[RESUMIR]","Sirve para derivar micro-skills, no para copiar el proceso completo","figma-bmad-compose-screen","Mantener solo la logica macro"
"bmad-create-ux-design","bmad-create-ux-design/steps/step-02-discovery.md","input","Lectura de PRD, brief y project context","[PORTAR]","La composicion de pantallas debe arrancar desde requerimientos y restricciones ya definidas","figma-bmad-compose-screen","Buen preflight para cualquier skill"
"bmad-create-ux-design","bmad-create-ux-design/steps/step-03-core-experience.md","step","Core action, effortless interactions y success moments","[RESUMIR]","Ayuda a decidir jerarquia e interaccion principal de una pantalla","figma-bmad-compose-screen","Condensar a 3-5 preguntas clave"
"bmad-create-ux-design","bmad-create-ux-design/steps/step-04-emotional-response.md","step","Objetivos emocionales y micro-emociones","[RESUMIR]","Solo util cuando se traduce a tono visual o feedback patterns concretos","figma-bmad-compose-screen","Evitar convertirlo en research abierto"
"bmad-create-ux-design","bmad-create-ux-design/steps/step-05-inspiration.md","step","Extraccion de patrones y anti-patrones de productos existentes","[RESUMIR]","Puede informar decisiones de navegacion, onboarding y feedback","figma-bmad-compose-screen","Portar como biblioteca de patrones, no como exploracion extensa"
"bmad-create-ux-design","bmad-create-ux-design/steps/step-06-design-system.md","step","Eleccion de sistema base y estrategia de customizacion","[PORTAR]","Es directamente aplicable a reglas de uso de libreria, componentes existentes y gaps","figma-bmad-design-system-rules","Muy alineado con Figma library/system usage"
"bmad-create-ux-design","bmad-create-ux-design/steps/step-06-design-system.md","rule","Balance entre velocidad, unicidad y mantenimiento","[PORTAR]","Ayuda a decidir cuando usar componente existente versus custom","figma-bmad-design-system-rules","Regla clave para governance visual"
"bmad-create-ux-design","bmad-create-ux-design/steps/step-07-defining-experience.md","step","Mental model, success criteria y experience mechanics","[PORTAR]","Informa la estructura de pantalla y los estados criticos que deben verse","figma-bmad-compose-screen","Muy util para componer flujo principal"
"bmad-create-ux-design","bmad-create-ux-design/steps/step-08-visual-foundation.md","step","Color system, typography, spacing y grid","[PORTAR]","Se traduce casi directo a tokens, variables y reglas visuales del archivo Figma","figma-bmad-design-system-rules","Uno de los nucleos mas portables"
"bmad-create-ux-design","bmad-create-ux-design/steps/step-08-visual-foundation.md","rule","Semantic color mapping y contraste","[PORTAR]","Conecta tokens con accesibilidad y consistencia visual","figma-bmad-design-system-rules","Incluir contraste y semantica"
"bmad-create-ux-design","bmad-create-ux-design/steps/step-09-design-directions.md","output","Exploracion de 6-8 direcciones visuales en HTML","[OMITIR]","La forma HTML no es necesaria para una skill de Figma acotada","N/A","Queda solo la idea de comparar opciones"
"bmad-create-ux-design","bmad-create-ux-design/steps/step-09-design-directions.md","step","Criterios para evaluar direcciones visuales","[RESUMIR]","Sirve como checklist de seleccion visual antes de fijar una pantalla","figma-bmad-compose-screen","Portar solo criterios, no la produccion de mockups"
"bmad-create-ux-design","bmad-create-ux-design/steps/step-10-user-journeys.md","step","Journey flows, error recovery y journey patterns","[PORTAR]","Ayuda a definir screens, states y navegacion necesaria","figma-bmad-compose-screen","Muy util para secuencias de pantallas"
"bmad-create-ux-design","bmad-create-ux-design/steps/step-11-component-strategy.md","step","Gap analysis entre design system y componentes custom","[PORTAR]","Es exactamente la logica necesaria para decidir componentizacion en Figma","figma-bmad-design-system-rules","Debe aterrizarse a componentes, variantes y estados"
"bmad-create-ux-design","bmad-create-ux-design/steps/step-11-component-strategy.md","rule","Especificar purpose, anatomy, states, variants y accessibility","[PORTAR]","Da el marco para componentes documentados y listos para handoff","figma-bmad-design-system-rules","Clave para librerias reutilizables"
"bmad-create-ux-design","bmad-create-ux-design/steps/step-12-ux-patterns.md","step","Reglas para buttons, forms, navigation, feedback y loading","[PORTAR]","Esto puede convertirse en reglas operativas visibles dentro del archivo Figma","figma-bmad-design-system-rules","Aporta reusable UI rules"
"bmad-create-ux-design","bmad-create-ux-design/steps/step-13-responsive-accessibility.md","step","Breakpoints, WCAG, touch targets y testing","[PORTAR]","Es base directa para checklist de accesibilidad y readiness de handoff","figma-bmad-handoff-readiness","Portar como checklist verificable"
"bmad-create-ux-design","bmad-create-ux-design/steps/step-14-complete.md","artifact","UX spec final y assets de apoyo","[RESUMIR]","Importa como salida de referencia, no como workflow Figma literal","figma-bmad-handoff-readiness","Usar como referencia de entregables"
"bmad-create-prd","bmad-create-prd/data/prd-purpose.md","rule","Alta densidad informativa y trazabilidad","[RESUMIR]","Mejora specs de handoff y evita documentacion difusa","figma-bmad-handoff-readiness","Aplicar a output de diseño, no al PRD entero"
"bmad-create-prd","bmad-create-prd/steps-c/step-04-journeys.md","step","Cobertura de user types y edge cases","[PORTAR]","Evita diseñar solo el happy path y fuerza estados administrativos o de soporte","figma-bmad-compose-screen","Muy util para mapear pantallas faltantes"
"bmad-create-prd","bmad-create-prd/steps-c/step-09-functional.md","output","FR como capability contract","[PORTAR]","Sirve para validar que cada pantalla y estado responde a una capacidad real","figma-bmad-handoff-readiness","No trasladar UI specifics al FR"
"bmad-create-prd","bmad-create-prd/steps-c/step-10-nonfunctional.md","rule","NFR medibles de performance, accessibility e integration","[PORTAR]","Se convierten en checks de diseño/handoff cuando afectan UX o UI","figma-bmad-handoff-readiness","Filtrar solo NFR que impactan interfaz"
"bmad-create-prd","bmad-create-prd/steps-c/step-11-polish.md","step","Reconciliacion de ideas blandas que se pierden en el documento","[RESUMIR]","Ayuda a no perder tono, feel o principios de interaccion en el handoff","figma-bmad-handoff-readiness","Interesante para revisar soft requirements"
"bmad-create-prd","bmad-create-prd/workflow.md","rule","Secuencia estricta, append-only y menus","[OMITIR]","No aporta a una skill Figma enfocada en tarea puntual","N/A","Orquestacion BMAD"
"bmad-create-architecture","bmad-create-architecture/steps/step-02-context.md","step","Extraccion de implicaciones tecnicas desde UX","[RESUMIR]","Ayuda a enlazar responsive, real-time y accesibilidad con decisiones de diseño","figma-bmad-handoff-readiness","Util como puente diseño-dev"
"bmad-create-architecture","bmad-create-architecture/steps/step-05-patterns.md","step","Naming, structure, format, communication y process patterns","[PORTAR]","Se puede convertir en contrato diseño-implementacion para componentes, estados y nomenclatura","figma-bmad-handoff-readiness","Muy valioso para consistencia"
"bmad-create-architecture","bmad-create-architecture/steps/step-06-structure.md","step","Mapeo de features a modulos y boundaries","[RESUMIR]","Sirve para handoff cuando una pantalla debe mapearse a dominios o modulos concretos","figma-bmad-handoff-readiness","No aplica a la edicion visual directa"
"bmad-create-architecture","bmad-create-architecture/steps/step-07-validation.md","rule","Coverage, coherence y implementation readiness","[PORTAR]","Es el mejor modelo para una validacion final de handoff desde Figma","figma-bmad-handoff-readiness","Convertir en checklist corta"
"bmad-create-architecture","bmad-create-architecture/steps/step-04-decisions.md","step","Decisiones de stack, data, infra y auth","[OMITIR]","Queda fuera del alcance de una skill de Figma salvo referencias puntuales","N/A","Backend/infra predominante"
"bmad-generate-project-context","bmad-generate-project-context/project-context-template.md","artifact","Plantilla corta de reglas criticas para agentes","[PORTAR]","Modelo ideal para condensar reglas Figma en un archivo breve y escaneable","figma-bmad-design-system-rules","Muy buen formato destino"
"bmad-generate-project-context","bmad-generate-project-context/steps/step-01-discover.md","step","Descubrimiento de patrones existentes en proyecto","[PORTAR]","Puede adaptarse a descubrir libreria, tokens, naming y restricciones del archivo Figma","figma-bmad-design-system-rules","Buen preflight para reglas"
"bmad-generate-project-context","bmad-generate-project-context/steps/step-02-generate.md","step","Reglas por categorias y don't-miss rules","[PORTAR]","Permite estructurar reglas Figma en bloques concretos y reutilizables","figma-bmad-design-system-rules","Muy transferible"
"bmad-generate-project-context","bmad-generate-project-context/steps/step-03-complete.md","rule","Optimizacion lean para consumo LLM","[PORTAR]","Es exactamente el tipo de compresion que necesita una Figma Skill usable","figma-bmad-design-system-rules","Mantener alta densidad"
"bmad-generate-project-context","bmad-generate-project-context/steps/step-02-generate.md","category","Testing, workflow y deployment rules","[OMITIR]","No son material de diseño salvo que afecten handoff explicito","N/A","Conservar solo si impacta UI handoff"
"bmad-generate-project-context","bmad-generate-project-context/workflow.md","purpose","Crear archivo de contexto obligatorio para agentes","[RESUMIR]","Sirve como patron de empaquetado de reglas, no como workflow Figma literal","figma-bmad-design-system-rules","Adoptar la filosofia, no la orquestacion"
